time,Bx,By,Bz,
2003-10-30 17:00:00.000,14858.80,1730.80,49663.60,
2003-10-30 17:01:00.000,14845.50,1749.80,49672.30,
2003-10-30 17:02:00.000,14833.20,1767.40,49680.70,
2003-10-30 17:03:00.000,14833.50,1795.40,49696.70,
2003-10-30 17:04:00.000,14837.60,1813.80,49706.50,
2003-10-30 17:05:00.000,14830.70,1827.20,49710.30,
2003-10-30 17:06:00.000,14831.00,1848.80,49715.70,
2003-10-30 17:07:00.000,14842.00,1855.50,49714.10,
2003-10-30 17:08:00.000,14856.80,1853.90,49710.40,
2003-10-30 17:09:00.000,14865.80,1844.80,49701.90,
2003-10-30 17:10:00.000,14872.30,1833.60,49698.90,
2003-10-30 17:11:00.000,14873.70,1821.70,49700.90,
2003-10-30 17:12:00.000,14874.70,1806.90,49702.70,
2003-10-30 17:13:00.000,14872.60,1798.10,49706.80,
2003-10-30 17:14:00.000,14879.90,1782.20,49711.70,
2003-10-30 17:15:00.000,14891.90,1785.70,49728.70,
2003-10-30 17:16:00.000,14909.40,1795.50,49741.20,
2003-10-30 17:17:00.000,14914.10,1796.60,49745.40,
2003-10-30 17:18:00.000,14910.00,1803.10,49750.20,
2003-10-30 17:19:00.000,14907.20,1806.40,49749.20,
2003-10-30 17:20:00.000,14898.40,1801.00,49740.50,
2003-10-30 17:21:00.000,14890.40,1799.20,49734.40,
2003-10-30 17:22:00.000,14888.20,1795.50,49729.20,
2003-10-30 17:23:00.000,14888.10,1795.80,49732.50,
2003-10-30 17:24:00.000,14889.50,1801.30,49733.90,
2003-10-30 17:25:00.000,14897.50,1807.90,49733.50,
2003-10-30 17:26:00.000,14902.10,1805.00,49734.00,
2003-10-30 17:27:00.000,14903.10,1809.10,49737.40,
2003-10-30 17:28:00.000,14905.20,1815.20,49736.00,
2003-10-30 17:29:00.000,14903.70,1815.20,49735.40,
2003-10-30 17:30:00.000,14893.70,1816.60,49731.40,
2003-10-30 17:31:00.000,14886.70,1821.10,49722.70,
2003-10-30 17:32:00.000,14875.20,1820.20,49710.60,
2003-10-30 17:33:00.000,14860.70,1825.50,49701.50,
2003-10-30 17:34:00.000,14845.10,1826.30,49687.80,
2003-10-30 17:35:00.000,14826.60,1831.50,49671.70,
2003-10-30 17:36:00.000,14802.90,1841.50,49652.80,
2003-10-30 17:37:00.000,14789.10,1845.60,49630.10,
2003-10-30 17:38:00.000,14785.40,1848.70,49606.40,
2003-10-30 17:39:00.000,14780.30,1854.40,49582.60,
2003-10-30 17:40:00.000,14766.70,1847.10,49547.90,
2003-10-30 17:41:00.000,14761.30,1824.00,49520.90,
2003-10-30 17:42:00.000,14759.50,1805.10,49505.80,
2003-10-30 17:43:00.000,14744.80,1797.00,49510.60,
2003-10-30 17:44:00.000,14733.40,1787.30,49515.00,
2003-10-30 17:45:00.000,14724.90,1786.10,49522.40,
2003-10-30 17:46:00.000,14706.70,1792.50,49515.10,
2003-10-30 17:47:00.000,14710.80,1782.50,49510.50,
2003-10-30 17:48:00.000,14725.40,1762.20,49519.50,
2003-10-30 17:49:00.000,14749.20,1742.50,49538.70,
2003-10-30 17:50:00.000,14751.90,1727.00,49557.80,
2003-10-30 17:51:00.000,14784.10,1713.00,49587.00,
2003-10-30 17:52:00.000,14819.90,1715.90,49628.40,
2003-10-30 17:53:00.000,14833.90,1734.20,49655.00,
2003-10-30 17:54:00.000,14866.10,1735.20,49678.40,
2003-10-30 17:55:00.000,14915.80,1734.10,49710.10,
2003-10-30 17:56:00.000,14943.90,1723.70,49733.10,
2003-10-30 17:57:00.000,14980.20,1719.50,49756.40,
2003-10-30 17:58:00.000,14996.00,1725.10,49780.40,
2003-10-30 17:59:00.000,15023.90,1749.10,49804.90,
2003-10-30 18:00:00.000,15029.30,1736.70,49804.30,
2003-10-30 18:01:00.000,15040.40,1714.10,49802.70,
2003-10-30 18:02:00.000,15041.80,1706.60,49806.60,
2003-10-30 18:03:00.000,15052.30,1718.00,49818.50,
2003-10-30 18:04:00.000,15053.20,1723.20,49824.40,
2003-10-30 18:05:00.000,15047.40,1708.20,49820.20,
2003-10-30 18:06:00.000,15041.90,1711.50,49820.20,
