time,Bx,By,Bz,
2003-10-30 00:00:00.000,14057.70,1710.00,49563.60,
2003-10-30 00:01:00.000,14104.30,1562.90,49583.80,
2003-10-30 00:02:00.000,14076.10,1537.60,49613.70,
2003-10-30 00:03:00.000,14093.30,1548.00,49647.70,
2003-10-30 00:04:00.000,14173.20,1575.60,49689.20,
2003-10-30 00:05:00.000,14227.50,1620.90,49671.20,
2003-10-30 00:06:00.000,14177.70,1629.40,49637.90,
2003-10-30 00:07:00.000,14109.50,1641.80,49605.20,
2003-10-30 00:08:00.000,14115.10,1670.30,49596.60,
2003-10-30 00:09:00.000,14161.90,1711.10,49614.50,
2003-10-30 00:10:00.000,14200.50,1748.10,49630.30,
2003-10-30 00:11:00.000,14238.40,1751.90,49630.90,
2003-10-30 00:12:00.000,14156.60,1734.50,49573.20,
2003-10-30 00:13:00.000,14070.70,1786.30,49509.70,
2003-10-30 00:14:00.000,14108.70,1832.50,49487.50,
2003-10-30 00:15:00.000,14121.00,1859.60,49480.40,
2003-10-30 00:16:00.000,14122.70,1911.40,49486.70,
2003-10-30 00:17:00.000,14093.80,1960.30,49480.90,
2003-10-30 00:18:00.000,14049.20,1996.00,49487.90,
2003-10-30 00:19:00.000,14035.00,2026.20,49525.70,
2003-10-30 00:20:00.000,14051.10,2014.40,49585.70,
2003-10-30 00:21:00.000,14047.30,1952.50,49640.50,
2003-10-30 00:22:00.000,14083.40,1911.40,49672.40,
2003-10-30 00:23:00.000,14111.40,1906.20,49698.40,
2003-10-30 00:24:00.000,14111.10,1871.30,49701.20,
2003-10-30 00:25:00.000,14114.90,1872.40,49707.60,
2003-10-30 00:26:00.000,14119.40,1901.20,49712.80,
2003-10-30 00:27:00.000,14094.10,1885.60,49687.10,
2003-10-30 00:28:00.000,14089.40,1825.40,49654.00,
2003-10-30 00:29:00.000,14093.30,1791.50,49627.70,
2003-10-30 00:30:00.000,14145.70,1818.30,49614.00,
2003-10-30 00:31:00.000,14211.70,1822.40,49616.80,
2003-10-30 00:32:00.000,14242.00,1829.20,49628.80,
2003-10-30 00:33:00.000,14260.90,1854.00,49637.10,
2003-10-30 00:34:00.000,14301.80,1863.60,49645.50,
2003-10-30 00:35:00.000,14243.80,1859.10,49629.90,
2003-10-30 00:36:00.000,14148.90,1843.70,49614.50,
2003-10-30 00:37:00.000,14115.90,1858.00,49609.60,
2003-10-30 00:38:00.000,14120.70,1821.80,49611.80,
2003-10-30 00:39:00.000,14078.10,1813.00,49623.10,
2003-10-30 00:40:00.000,14025.20,1818.70,49627.90,
2003-10-30 00:41:00.000,14002.80,1837.50,49645.80,
2003-10-30 00:42:00.000,14078.00,1846.80,49672.00,
2003-10-30 00:43:00.000,14186.50,1857.10,49685.30,
2003-10-30 00:44:00.000,14209.10,1894.10,49670.80,
2003-10-30 00:45:00.000,14183.50,1915.10,49670.10,
2003-10-30 00:46:00.000,14268.90,1839.10,49655.90,
2003-10-30 00:47:00.000,14315.30,1788.20,49632.10,
2003-10-30 00:48:00.000,14337.40,1795.90,49643.50,
2003-10-30 00:49:00.000,14307.50,1861.70,49623.20,
2003-10-30 00:50:00.000,14331.40,1915.90,49626.30,
2003-10-30 00:51:00.000,14336.90,1952.80,49586.50,
2003-10-30 00:52:00.000,14318.90,1982.10,49576.80,
2003-10-30 00:53:00.000,14298.00,1994.10,49600.60,
2003-10-30 00:54:00.000,14340.10,1978.00,49630.10,
2003-10-30 00:55:00.000,14064.00,1975.20,49510.00,
2003-10-30 00:56:00.000,13949.60,2001.50,49485.30,
2003-10-30 00:57:00.000,14104.50,1951.40,49532.90,
2003-10-30 00:58:00.000,14135.00,1889.30,49604.30,
2003-10-30 00:59:00.000,14125.80,1791.50,49551.50,
2003-10-30 01:00:00.000,14197.60,1733.60,49426.60,
2003-10-30 01:01:00.000,14022.50,1677.80,49323.80,
2003-10-30 01:02:00.000,13674.50,1819.60,49184.80,
2003-10-30 01:03:00.000,13645.70,1992.00,49170.90,
2003-10-30 01:04:00.000,13472.50,1993.20,49381.10,
2003-10-30 01:05:00.000,13354.70,1910.50,49556.00,
2003-10-30 01:06:00.000,13622.20,1828.50,49751.10,
2003-10-30 01:07:00.000,13638.60,1922.70,49904.50,
2003-10-30 01:08:00.000,13501.50,2161.80,49813.00,
2003-10-30 01:09:00.000,13527.40,1925.30,49530.00,
2003-10-30 01:10:00.000,13508.50,2103.50,49276.30,
2003-10-30 01:11:00.000,13478.40,2267.00,49265.70,
2003-10-30 01:12:00.000,13340.50,2313.40,49338.90,
2003-10-30 01:13:00.000,13320.60,2115.20,49337.70,
2003-10-30 01:14:00.000,13473.20,2156.70,49348.60,
2003-10-30 01:15:00.000,13549.40,2031.30,49458.20,
2003-10-30 01:16:00.000,13629.10,2071.20,49418.50,
2003-10-30 01:17:00.000,13519.40,2182.70,49369.10,
2003-10-30 01:18:00.000,13550.30,2199.30,49371.70,
2003-10-30 01:19:00.000,13620.80,2147.80,49351.20,
2003-10-30 01:20:00.000,13508.70,2062.80,49254.00,
2003-10-30 01:21:00.000,13455.20,2012.60,49149.30,
