Transformer,0 A,10 A,20 A,40 A,50 A,100 A,200 A
T1,0,62.6,101,128.7,134.5,150.4,167.2
T2,0,37.3,71.1,110.3,121,152.4,187.3
T3,0,28.5,60.2,98.5,110.6,140.1,175.8
T4,0,0.5,30.7,110,127.9,171.6,220.5
T5,0,0.8,37.1,109.9,127.8,172.3,238
T6,0,32.1,65.7,103.7,114,141.5,168.2
T7,0,17.8,37.6,72,84.7,120.9,153.7
T8,0,27.8,54.1,90.9,103.7,133.2,167.1
T9,0,41.6,77.1,115.3,125.2,157.8,193.7
T10,0,36.8,65.9,103.5,115.9,142.2,161.4
T11,0,56.8,92.6,126.5,133.7,153.9,174.6
T12,0,52.3,89,120,130.3,160.5,194.8
T13,0,30.6,61.6,100.1,112.2,142.9,179.6
T14,0,59.1,88.5,106.4,112.9,134.2,154.9
T15,0,45.6,81.1,108.6,113.7,135.5,163.4
T16,0,29.9,55.7,90.5,102,127.8,150.4
T17,0,42.2,71,103,109.9,128.4,146.8
T18,0,0,0.1,21.1,49.6,116.8,154.1
T19,0,0.1,8.6,75.1,90.4,110.9,126.2
T20,0,13.2,27.2,56.8,68.2,101.3,126.6
T21,0,17.4,33.4,56,64.7,92.2,108.3
T22,0,24.8,49,81,92.2,119.7,139.9
T23,0,20.2,40.5,74.6,86.1,118,146.6
T24,0,110.5,140.5,173.5,188,230,296.6
T25,0,93.5,127,154,166.8,206.2,259.9
T26,0,0,4.3,74.3,91.7,122.2,151.8
T27,0,0.1,13.2,66.5,86.4,122.8,156.7
T28,0,2.2,53.1,108.8,118.9,158.5,209.3
T29,0,11.4,24.8,52.9,64.7,100.9,128.8
T30,0,31.8,64,103.1,115.6,146.1,182
T31,0,22.8,47.4,85.6,98.1,134.1,167.9
T32,0,20.3,42.4,81.2,94.1,132.7,168.8
T33,0,43.6,80.6,121.5,130.8,165.7,213.4
T34,0,55.6,95.8,125.5,133.1,162.2,204.4
T35,0,27,52.5,88,99.7,125.5,145.8
T36,0,28.8,91.3,138.8,154.4,196.4,256.5
T37,0,0,0.1,4.5,15.4,80,135
T38,0,0,0,3,19.1,102.5,144.3
T39,0,14.9,31.4,56.4,66.2,101.6,127.8
T40,0,3.3,13.4,30.2,37.6,65.8,101.4
T41,0,18,37.8,66.7,76.9,108,127.5
T42,0,14.5,30.1,64.7,77,111.6,139.4
