"T1, design 1_time","T1, design 1_temp_rise","T2, design 1_time","T2, design 1_temp_rise","T3, design 1_time","T3, design 1_temp_rise","T4, design 1_time","T4, design 1_temp_rise","T5, design 1_time","T5, design 1_temp_rise","T6, design 1_time","T6, design 1_temp_rise","T7, design 1_time","T7, design 1_temp_rise","T8, design 1_time","T8, design 1_temp_rise","T9, design 1_time","T9, design 1_temp_rise","T10, design 1_time","T10, design 1_temp_rise","T11, design 1_time","T11, design 1_temp_rise","T12, design 1_time","T12, design 1_temp_rise","T13, design 1_time","T13, design 1_temp_rise","T14, design 1_time","T14, design 1_temp_rise","T15, design 1_time","T15, design 1_temp_rise","T16, design 1_time","T16, design 1_temp_rise","T17, design 1_time","T17, design 1_temp_rise","T18, design 1_time","T18, design 1_temp_rise","T19, design 1_time","T19, design 1_temp_rise","T20, design 1_time","T20, design 1_temp_rise","T21, design 1_time","T21, design 1_temp_rise","T22, design 1_time","T22, design 1_temp_rise","T23, design 1_time","T23, design 1_temp_rise","T24, design 1_time","T24, design 1_temp_rise","T25, design 1_time","T25, design 1_temp_rise","T26, design 1_time","T26, design 1_temp_rise","T27, design 1_time","T27, design 1_temp_rise","T28, design 1_time","T28, design 1_temp_rise","T29, design 1_time","T29, design 1_temp_rise","T30, design 1_time","T30, design 1_temp_rise","T31, design 1_time","T31, design 1_temp_rise","T32, design 1_time","T32, design 1_temp_rise","T33, design 1_time","T33, design 1_temp_rise","T34, design 1_time","T34, design 1_temp_rise","T35, design 1_time","T35, design 1_temp_rise","T36, design 1_time","T36, design 1_temp_rise","T37, design 1_time","T37, design 1_temp_rise","T38, design 1_time","T38, design 1_temp_rise","T39, design 1_time","T39, design 1_temp_rise","T40, design 1_time","T40, design 1_temp_rise","T41, design 1_time","T41, design 1_temp_rise","T42, design 1_time","T42, design 1_temp_rise","T1, design 2_time","T1, design 2_temp_rise","T2, design 2_time","T2, design 2_temp_rise","T3, design 2_time","T3, design 2_temp_rise","T4, design 2_time","T4, design 2_temp_rise","T5, design 2_time","T5, design 2_temp_rise","T6, design 2_time","T6, design 2_temp_rise","T7, design 2_time","T7, design 2_temp_rise","T8, design 2_time","T8, design 2_temp_rise","T9, design 2_time","T9, design 2_temp_rise","T10, design 2_time","T10, design 2_temp_rise","T11, design 2_time","T11, design 2_temp_rise","T12, design 2_time","T12, design 2_temp_rise","T13, design 2_time","T13, design 2_temp_rise","T14, design 2_time","T14, design 2_temp_rise","T15, design 2_time","T15, design 2_temp_rise","T16, design 2_time","T16, design 2_temp_rise","T17, design 2_time","T17, design 2_temp_rise","T18, design 2_time","T18, design 2_temp_rise","T19, design 2_time","T19, design 2_temp_rise","T20, design 2_time","T20, design 2_temp_rise","T21, design 2_time","T21, design 2_temp_rise","T22, design 2_time","T22, design 2_temp_rise","T23, design 2_time","T23, design 2_temp_rise","T24, design 2_time","T24, design 2_temp_rise","T25, design 2_time","T25, design 2_temp_rise","T26, design 2_time","T26, design 2_temp_rise","T27, design 2_time","T27, design 2_temp_rise","T28, design 2_time","T28, design 2_temp_rise","T29, design 2_time","T29, design 2_temp_rise","T30, design 2_time","T30, design 2_temp_rise","T31, design 2_time","T31, design 2_temp_rise","T32, design 2_time","T32, design 2_temp_rise","T33, design 2_time","T33, design 2_temp_rise","T34, design 2_time","T34, design 2_temp_rise","T35, design 2_time","T35, design 2_temp_rise","T36, design 2_time","T36, design 2_temp_rise","T37, design 2_time","T37, design 2_temp_rise","T38, design 2_time","T38, design 2_temp_rise","T39, design 2_time","T39, design 2_temp_rise","T40, design 2_time","T40, design 2_temp_rise","T41, design 2_time","T41, design 2_temp_rise","T42, design 2_time","T42, design 2_temp_rise"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.799999660915798,1.0,5.688888973659939,1.0,3.80000008477105,1.0,0.2222222222222222,1.0,0.3555555608537462,1.0,4.444444444444445,1.0,2.80000008477105,1.0,4.377777947319879,1.0,5.31111102634006,1.0,4.911111195882161,1.0,7.399999830457899,1.0,6.977777693006727,1.0,5.044444613986545,1.0,6.80000008477105,1.0,5.444444444444444,1.0,4.822222391764322,1.0,5.688888973659939,1.0,0.0,1.0,0.022222222553359136,1.0,1.9777776930067272,1.0,2.911111195882161,1.0,3.7111112806532116,1.0,3.15555551317003,1.0,7.888888888888888,1.0,6.933333502875434,1.0,0.0,1.0,0.06666666931576198,1.0,0.6000000105963813,1.0,1.8444444868299694,1.0,4.9555553860134545,1.0,3.6666666666666665,1.0,3.1999999152289496,1.0,5.622222052680121,1.0,6.711111280653212,1.0,4.177777608235677,1.0,4.377777947319879,1.0,0.022222222553359136,1.0,0.0,1.0,2.888888888888889,1.0,0.9333332909478081,1.0,2.822222179836697,1.0,2.422222137451172,1.0,7.364705702837775,1.0,4.388235204360064,1.0,3.3529411764705883,1.0,0.058823529411764705,1.0,0.09411764846128576,1.0,3.7764704087201286,1.0,2.094117557301241,1.0,3.270588145536535,1.0,4.894117467543658,1.0,4.329411674948299,1.0,6.682352851418888,1.0,6.152941086713005,1.0,3.6000000448787914,1.0,6.952940996955423,1.0,5.364705702837775,1.0,3.517647013944738,1.0,4.964705972110524,1.0,0.0,1.0,0.01176470605766072,1.0,1.5529411540311926,1.0,2.0470587786506202,1.0,2.9176469690659466,1.0,2.376470677992877,1.0,13.0,1.0,11.0,1.0,0.0,1.0,0.01176470605766072,1.0,0.25882353502161365,1.0,1.3411764257094438,1.0,3.7411763808306526,1.0,2.6823528514188877,1.0,2.3882352043600643,1.0,5.1294115851907165,1.0,6.54117629107307,1.0,3.176470588235294,1.0,3.3882352043600643,1.0,0.0,1.0,0.0,1.0,1.7529411315917969,1.0,0.38823528850779815,1.0,2.1176470588235294,1.0,1.7058823529411764
2.0,13.866666063850307,2.0,10.11358039761767,2.0,6.755555706259644,2.0,0.3950617283950617,2.0,0.6320987748511043,2.0,7.901234567901235,2.0,4.977777928481867,2.0,7.782716350790896,2.0,9.441975157937886,2.0,8.730864348234952,2.0,13.155555254147377,2.0,12.404938120900848,2.0,8.967901535976079,2.0,12.088889039592978,2.0,9.679012345679011,2.0,8.572839807581017,2.0,10.11358039761767,2.0,0.0,2.0,0.03950617342819402,2.0,3.5160492320119596,2.0,5.175308792679397,2.0,6.59753116560571,2.0,5.6098764678578315,2.0,14.02469135802469,2.0,12.325926227334104,2.0,0.0,2.0,0.11851852322802131,2.0,1.0666666855046778,2.0,3.279012421031057,2.0,8.809876241801696,2.0,6.518518518518518,2.0,5.688888738184799,2.0,9.995061426986883,2.0,11.930864498939043,2.0,7.427160192418981,2.0,7.782716350790896,2.0,0.03950617342819402,2.0,0.0,2.0,5.135802469135802,2.0,1.6592591839072144,2.0,5.017283875265239,2.0,4.306172688802083,2.0,13.862975440635811,2.0,8.260207443501297,2.0,6.311418685121107,2.0,0.11072664359861592,2.0,0.17716263239771435,2.0,7.108650181120241,2.0,3.941868343155277,2.0,6.156401215127595,2.0,9.212456409493944,2.0,8.149480799902681,2.0,12.578546543847319,2.0,11.582006751459774,2.0,6.776470672713019,2.0,13.087888935445502,2.0,10.09826955828287,2.0,6.621453202719507,2.0,9.345328888678633,2.0,0.0,2.0,0.022145329049714294,2.0,2.9231833487645975,2.0,3.8532871127541086,2.0,5.4920413535359,2.0,4.473356570339533,2.0,24.470588235294116,2.0,20.705882352941174,2.0,0.0,2.0,0.022145329049714294,2.0,0.4871972423936257,2.0,2.5245673895707177,2.0,7.042214363916523,2.0,5.049134779141435,2.0,4.495501561148356,2.0,9.655362983888407,2.0,12.31280243025519,2.0,5.979238754325259,2.0,6.377854502324826,2.0,0.0,2.0,0.0,2.0,3.2996538947610294,2.0,0.7307958371911494,2.0,3.986159169550173,2.0,3.2110726643598615
3.0,18.585184377243813,3.0,13.555007060695903,3.0,9.054321189639662,3.0,0.5294924554183813,3.0,0.847187941293494,3.0,10.589849108367627,3.0,6.671605140256947,3.0,10.431001775712797,3.0,12.654869482513972,3.0,11.70178346673157,3.0,17.632098361461416,3.0,16.62606289815183,3.0,12.019479141967938,3.0,16.20246933778781,3.0,12.972565157750342,3.0,11.489986686549557,3.0,13.555007060695903,3.0,0.0,3.0,0.05294924633084337,3.0,4.712482651238251,3.0,6.936351367966137,3.0,8.842524409457653,3.0,7.518792765948344,3.0,18.796982167352535,3.0,16.520165013024183,3.0,0.0,3.0,0.15884774293755632,3.0,1.4296296548777974,3.0,4.3947874809652365,3.0,11.807681351859218,3.0,8.736625514403292,3.0,7.624691156039349,3.0,13.396158718114364,3.0,15.9906725576058,3.0,9.954457757894884,3.0,10.431001775712797,3.0,0.05294924633084337,3.0,0.0,3.0,6.883401920438957,3.0,2.2238682117645303,3.0,6.724554082820772,3.0,5.771467562075014,3.0,19.59674285633996,3.0,11.67665353686121,3.0,8.92184001628333,3.0,0.15652350905760226,3.0,0.2504376182239749,3.0,10.048808803826223,3.0,5.572236683614721,3.0,8.702706864766764,3.0,13.022755475920668,3.0,11.520130027803607,3.0,17.781070390107697,3.0,16.372358808589276,3.0,9.57923887374322,3.0,18.501078292936747,3.0,14.274943548381483,3.0,9.360105722226656,3.0,13.210584403297553,3.0,0.0,3.0,0.031304702277996865,3.0,4.13222057941172,3.0,5.447017995786599,3.0,7.763565810421152,3.0,6.323550004763053,3.0,34.5916955017301,3.0,29.269896193771622,3.0,0.0,3.0,0.031304702277996865,3.0,0.6887034547806952,3.0,3.5687358870953707,3.0,9.954894937227586,3.0,7.137471774190741,3.0,6.354854228902731,3.0,13.648849512151076,3.0,17.405413729533528,3.0,8.452269489110522,3.0,9.01575388288197,3.0,0.0,3.0,0.0,3.0,4.664400450498587,3.0,1.03305514485293,3.0,5.634846326073681,3.0,4.539181762670466
4.0,22.255143065438766,4.0,16.231672243090088,4.0,10.842249898935231,4.0,0.6340496875476299,4.0,1.0144795151931305,4.0,12.680993750952599,4.0,7.989026304970897,4.0,12.49077932842983,4.0,15.153787290517595,4.0,14.012498336673382,4.0,21.113854111594556,4.0,19.909159947124817,4.0,14.392928391072719,4.0,19.401920680828233,4.0,15.534217344916932,4.0,13.758878703525088,4.0,16.231672243090088,4.0,0.0,4.0,0.06340496969957066,4.0,5.643041977303145,4.0,8.30605114874471,4.0,10.588630265786943,4.0,9.003505442240964,4.0,22.50876390794086,4.0,19.782350735227578,4.0,0.0,4.0,0.19021491382275024,4.0,1.7119341866124458,4.0,5.262612527580709,4.0,14.139307548570624,4.0,10.461819844535894,4.0,9.13031525881511,4.0,16.041456611213516,4.0,19.148301047679944,4.0,11.920133642153921,4.0,12.49077932842983,4.0,0.06340496969957066,4.0,0.0,4.0,8.242645938119189,4.0,2.663008566764665,4.0,8.05243091091952,4.0,6.911141352398405,4.0,24.65594939960833,4.0,14.69116479570819,4.0,11.225152955544115,4.0,0.19693250799200201,4.0,0.3150920174824401,4.0,12.643066412096207,4.0,7.0107969840201125,4.0,10.94944714386015,4.0,16.384784063944245,4.0,14.494232287716187,4.0,22.37153260739627,4.0,20.599140035468245,4.0,12.052269639358103,4.0,23.277421843664317,4.0,17.96024412788026,4.0,11.776563827674142,4.0,16.621103975020127,4.0,0.0,4.0,0.03938650218530501,4.0,5.199018135865063,4.0,6.853251127874089,4.0,9.76785209590814,4.0,7.956073623372042,4.0,43.52208426623244,4.0,36.82637899450437,4.0,0.0,4.0,0.03938650218530501,4.0,0.8665030539457563,4.0,4.490061031970065,4.0,12.524907207796169,4.0,8.98012206394013,4.0,7.99545952398012,4.0,17.172514095912256,4.0,21.8988942877203,4.0,10.634355431568107,4.0,11.343312159844155,4.0,0.0,4.0,0.0,4.0,5.86858858791408,4.0,1.2997545339662657,4.0,7.089570287712071,4.0,5.711042731768058
5.0,25.109555378479282,5.0,18.313522940507788,5.0,12.23286111727623,5.0,0.7153719792037121,5.0,1.1445951837817367,5.0,14.307439584074244,5.0,9.013687210859526,5.0,14.092828536098637,5.0,17.097390030075967,5.0,15.80972101329479,5.0,23.821886361698112,5.0,22.462679874103806,5.0,16.238944473709772,5.0,21.890382836526342,5.0,17.52661349049095,5.0,15.523572494506057,5.0,18.313522940507788,5.0,0.0,5.0,0.07153719898635855,5.0,6.366810342020285,5.0,9.371373200461381,5.0,11.946712598487501,5.0,10.158281968246335,5.0,25.39570526173178,5.0,22.319606296941327,5.0,0.0,5.0,0.2146116022890122,5.0,1.931504377961617,5.0,5.937587563837187,5.0,15.952794590457273,5.0,11.80363765686125,5.0,10.301356227640701,5.0,18.098910528068412,5.0,21.604234317737614,5.0,13.448992663244283,5.0,14.092828536098637,5.0,0.07153719898635855,5.0,0.0,5.0,9.299835729648258,5.0,3.0045621762092143,5.0,9.08522399944077,5.0,7.797554300427709,5.0,29.119955173080417,5.0,17.351027671161408,5.0,13.25748790195069,5.0,0.23258750705176645,5.0,0.3721400168281447,5.0,14.932117242922665,5.0,8.280114896142516,5.0,12.931865037177843,5.0,19.351279876906226,5.0,17.11844016410964,5.0,26.4219404461803,5.0,24.328652882714394,5.0,14.234355609018294,5.0,27.491842623718057,5.0,21.211979933320357,5.0,13.908732744245452,5.0,19.63038595006946,5.0,0.0,5.0,0.046517502103518085,5.0,6.140310097441542,5.0,8.094045067951287,5.0,11.536339994867246,5.0,9.396535639791738,5.0,51.40183905844039,5.0,43.493863818680325,5.0,0.0,5.0,0.046517502103518085,5.0,1.0233850532090456,5.0,5.302994983330089,5.0,14.792565093591978,5.0,10.605989966660179,5.0,9.443052431401346,5.0,20.281629905113295,5.0,25.863730074355686,5.0,12.559725380795387,5.0,13.397040051281378,5.0,0.0,5.0,0.0,5.0,6.931107532692455,5.0,1.5350775243603856,5.0,8.373150253863592,5.0,6.745037704501227
6.0,27.32965384417746,6.0,19.93274014961044,6.0,13.31444762043034,6.0,0.778622650491776,6.0,1.2457962593506524,6.0,15.572453009835524,6.0,9.810645693217348,6.0,15.338866808729929,6.0,18.60908104973248,6.0,17.20756087288922,6.0,25.928133667334208,6.0,24.4487509284208,6.0,17.674734760205258,6.0,23.825853402069317,6.0,19.076254937048514,6.0,16.896112109713478,6.0,19.93274014961044,6.0,0.0,6.0,0.07786226620941578,6.0,6.929741292355838,6.0,10.199957018463236,6.0,13.002998857254601,6.0,11.056441488472736,6.0,27.641104092458054,6.0,24.293027289385357,6.0,0.0,6.0,0.23358680442943813,6.0,2.1022811934554166,6.0,6.4625681475922265,6.0,17.363284511924668,6.0,12.847273733114305,6.0,11.212165870060605,6.0,19.699152463399997,6.0,23.51440463889358,6.0,14.638105235203454,6.0,15.338866808729929,6.0,0.07786226620941578,6.0,0.0,6.0,10.12209445639309,6.0,3.270214983554975,6.0,9.888507512735073,6.0,8.48698659333939,6.0,33.058783796732264,6.0,19.697965502443658,6.0,15.050724619368255,6.0,0.2640478003397939,6.0,0.42247648683906047,6.0,16.951867976004834,6.0,9.400101289191696,6.0,14.681057295987571,6.0,21.968776182460918,6.0,19.433917702103862,6.0,29.995829715695624,6.0,27.61939951263747,6.0,16.159725582247873,6.0,31.210449194353707,6.0,24.081158585179267,6.0,15.790058258867194,6.0,22.28563475158358,6.0,0.0,6.0,0.05280956085488256,6.0,6.970861828244319,6.0,9.188863250372343,6.0,13.096770493948812,6.0,10.667531536632646,6.0,58.354563875094456,6.0,49.37693866354146,6.0,0.0,6.0,0.05280956085488256,6.0,1.1618103466766538,6.0,6.020289646294817,6.0,16.793439698705928,6.0,12.040579292589634,6.0,10.720340290890665,6.0,23.024967383820094,6.0,29.362114591975143,6.0,14.25858121834887,6.0,15.209152896667163,6.0,0.0,6.0,0.0,6.0,7.868624248673375,6.0,1.7427154570610797,6.0,9.505720812232582,6.0,7.657386209854024
7.0,29.056397095276047,7.0,21.192131312245834,7.0,14.15568156732798,7.0,0.8278176170491591,7.0,1.3245082070153646,7.0,16.556352340983185,7.0,10.430502290606764,7.0,16.30800768744316,7.0,19.784840731687545,7.0,18.294769652573777,7.0,27.566326016162286,7.0,25.993472859556242,7.0,18.791460538590634,7.0,25.33121939749163,7.0,20.2815316177044,7.0,17.96364292154147,7.0,21.192131312245834,7.0,0.0,7.0,0.08278176293846029,7.0,7.367576475950157,7.0,10.844411099131346,7.0,13.824554836295679,7.0,11.755010004204381,7.0,29.387525405245153,7.0,25.82791028350849,7.0,0.0,7.0,0.24834529498310276,7.0,2.23510760550615,7.0,6.870886379401702,7.0,18.46033222862153,7.0,13.658990681311126,7.0,11.920573369720532,7.0,20.943785079769007,7.0,25.00009266645933,7.0,15.562970568949474,7.0,16.30800768744316,7.0,0.08278176293846029,7.0,0.0,7.0,10.76162902163907,7.0,3.4768338337127886,7.0,10.513283578630643,7.0,9.023211710048475,7.0,36.534220817601536,7.0,21.76879300063388,7.0,16.632992311207282,7.0,0.29180688265275934,7.0,0.46689101920163323,7.0,18.734000975783218,7.0,10.388324577176267,7.0,16.22446223023145,7.0,24.278331746185643,7.0,21.47698611798112,7.0,33.1492614240915,7.0,30.522999480216654,7.0,17.858581440979854,7.0,34.49157263903223,7.0,26.612786807407716,7.0,17.45005136000403,7.0,24.62850134115486,7.0,0.0,7.0,0.058361377400204154,7.0,7.7037015907173565,7.0,10.154879293685042,7.0,14.473620934314898,7.0,11.788998504433447,7.0,64.4893210662598,7.0,54.56788705606599,7.0,0.0,7.0,0.058361377400204154,7.0,1.283950311501014,7.0,6.653196701851929,7.0,18.55891729145353,7.0,13.306393403703858,7.0,11.847358990440062,7.0,25.445559276796683,7.0,32.4489244604629,7.0,15.757571663249001,7.0,16.80807599553697,7.0,0.0,7.0,0.0,7.0,8.695844880421244,7.0,1.9259253976793391,7.0,10.505047775499337,7.0,8.46239959693002
8.0,30.39941962390828,8.0,22.171657772073367,8.0,14.809974637137255,8.0,0.8660803688160127,8.0,1.3857286107545854,8.0,17.321607376320255,8.0,10.9126129774652,8.0,17.061783926442335,8.0,20.699320484319262,8.0,19.14037648121732,8.0,28.840475620806345,8.0,27.19492325043936,8.0,19.66002503289037,8.0,26.502059616153428,8.0,21.21896903599231,8.0,18.793944664074356,8.0,22.171657772073367,8.0,0.0,8.0,0.08660803817216159,8.0,7.708114952079072,8.0,11.345653161873209,8.0,14.463542819994295,8.0,12.29834107199566,8.0,30.745853092968453,8.0,27.021708167826482,8.0,0.0,8.0,0.25982412096928637,8.0,2.3384170371011646,8.0,7.188467226364627,8.0,19.3135915638302,8.0,14.290326085464208,8.0,12.47155698056714,8.0,21.91183267027824,8.0,26.155627799010468,8.0,16.282310272974158,8.0,17.061783926442335,8.0,0.08660803817216159,8.0,0.0,8.0,11.259044794608167,8.0,3.6375373838355327,8.0,10.999220518771642,8.0,9.440275689711097,8.0,39.60078289483913,8.0,23.595993734331135,8.0,18.029110862829953,8.0,0.31630019057596415,8.0,0.5060803124627268,8.0,20.30647126970532,8.0,11.260286301868534,8.0,17.586290113387815,8.0,26.316174890648636,8.0,23.27969354375517,8.0,35.931701166793744,8.0,33.08499945161005,8.0,19.357571904566896,8.0,37.38668156080739,8.0,28.846576415256347,8.0,18.914751155124762,8.0,26.695736567247167,8.0,0.0,8.0,0.06326003905784085,8.0,8.350324910546506,8.0,11.007246390725658,8.0,15.688488969932033,8.0,12.778528181904742,8.0,69.90234211728807,8.0,59.14813563770529,8.0,0.0,8.0,0.06326003905784085,8.0,1.391720868698979,8.0,7.211644103814087,8.0,20.11669163799553,8.0,14.423288207628174,8.0,12.841787254748354,8.0,27.581375652952495,8.0,35.17258022677563,8.0,17.08021029110206,8.0,18.218890494539743,8.0,0.0,8.0,0.0,8.0,9.425745437845837,8.0,2.0875812276366266,8.0,11.386806860734708,8.0,9.172705526702957
9.0,31.44399270173335,9.0,22.933511685272556,9.0,15.318869246988916,9.0,0.8958402868568988,9.0,1.4333444803295348,9.0,17.916805737137977,9.0,11.287587956132871,9.0,17.648054334552807,9.0,21.410582514143933,9.0,19.798070681273412,9.0,29.831480868862833,9.0,28.129384665570676,9.0,20.3355751951235,9.0,27.41271311955705,9.0,21.948087027994017,9.0,19.4397349082666,9.0,22.933511685272556,9.0,0.0,9.0,0.08958403002059592,9.0,7.9729782112904495,9.0,11.735508099561322,9.0,14.960533473982109,9.0,12.720931902499988,9.0,31.802330183419908,9.0,27.950217633407142,9.0,0.0,9.0,0.26875209673631806,9.0,2.4187688172306205,9.0,7.435474551780235,9.0,19.977237713436942,9.0,14.781364733138828,9.0,12.900099789003391,9.0,22.664758574007642,9.0,27.05437734655024,9.0,16.8417967094378,9.0,17.648054334552807,9.0,0.08958403002059592,9.0,0.0,9.0,11.645923729139685,9.0,3.7625290339310005,9.0,11.377171472214641,9.0,9.764658785004247,9.0,42.30657296298995,9.0,25.20822967582871,9.0,19.26098017308525,9.0,0.33791193286114485,9.0,0.5406591006342799,9.0,21.693945058460116,9.0,12.029664294244064,9.0,18.787902951466958,9.0,28.114271782821866,9.0,24.870317742967565,9.0,38.386795057413366,9.0,35.34558766166305,9.0,20.680210548908406,9.0,39.94118943296195,9.0,30.81756724571102,9.0,20.207133327290116,9.0,28.519767649093318,9.0,0.0,9.0,0.06758238757928499,9.0,8.92087489863105,9.0,11.759335005761496,9.0,16.760431354300092,9.0,13.651642603202943,9.0,74.678537162313,9.0,63.18953144503408,9.0,0.0,9.0,0.06758238757928499,9.0,1.4868125368148304,9.0,7.704391811427755,9.0,21.49119841435612,9.0,15.40878362285551,9.0,13.719223958549788,9.0,29.465919514266446,9.0,37.575805902933915,9.0,18.24724437450182,9.0,19.463726817189247,9.0,0.0,9.0,0.0,9.0,10.06977534145577,9.0,2.2302187246577625,9.0,12.164829583001213,9.0,9.799446052973197
