Transformer,Warning
"T1, design 1",['TEMPERATURE FOR T1 TIE BAR WITHIN ACCEPTABLE RANGE']
"T2, design 1",['TEMPERATURE FOR T2 TIE BAR WITHIN ACCEPTABLE RANGE']
"T3, design 1",['TEMPERATURE FOR T3 TIE BAR WITHIN ACCEPTABLE RANGE']
"T4, design 1",['TEMPERATURE FOR T4 TIE BAR WITHIN ACCEPTABLE RANGE']
"T5, design 1",['TEMPERATURE FOR T5 TIE BAR WITHIN ACCEPTABLE RANGE']
"T6, design 1",['TEMPERATURE FOR T6 TIE BAR WITHIN ACCEPTABLE RANGE']
"T7, design 1",['TEMPERATURE FOR T7 TIE BAR WITHIN ACCEPTABLE RANGE']
"T8, design 1",['TEMPERATURE FOR T8 TIE BAR WITHIN ACCEPTABLE RANGE']
"T9, design 1",['TEMPERATURE FOR T9 TIE BAR WITHIN ACCEPTABLE RANGE']
"T10, design 1",['TEMPERATURE FOR T10 TIE BAR WITHIN ACCEPTABLE RANGE']
"T11, design 1",['TEMPERATURE FOR T11 TIE BAR WITHIN ACCEPTABLE RANGE']
"T12, design 1",['TEMPERATURE FOR T12 TIE BAR WITHIN ACCEPTABLE RANGE']
"T13, design 1",['TEMPERATURE FOR T13 TIE BAR WITHIN ACCEPTABLE RANGE']
"T14, design 1",['TEMPERATURE FOR T14 TIE BAR WITHIN ACCEPTABLE RANGE']
"T15, design 1",['TEMPERATURE FOR T15 TIE BAR WITHIN ACCEPTABLE RANGE']
"T16, design 1",['TEMPERATURE FOR T16 TIE BAR WITHIN ACCEPTABLE RANGE']
"T17, design 1",['TEMPERATURE FOR T17 TIE BAR WITHIN ACCEPTABLE RANGE']
"T18, design 1",['TEMPERATURE FOR T18 TIE BAR WITHIN ACCEPTABLE RANGE']
"T19, design 1",['TEMPERATURE FOR T19 TIE BAR WITHIN ACCEPTABLE RANGE']
"T20, design 1",['TEMPERATURE FOR T20 TIE BAR WITHIN ACCEPTABLE RANGE']
"T21, design 1",['TEMPERATURE FOR T21 TIE BAR WITHIN ACCEPTABLE RANGE']
"T22, design 1",['TEMPERATURE FOR T22 TIE BAR WITHIN ACCEPTABLE RANGE']
"T23, design 1",['TEMPERATURE FOR T23 TIE BAR WITHIN ACCEPTABLE RANGE']
"T24, design 1",['TEMPERATURE FOR T24 TIE BAR WITHIN ACCEPTABLE RANGE']
"T25, design 1",['TEMPERATURE FOR T25 TIE BAR WITHIN ACCEPTABLE RANGE']
"T26, design 1",['TEMPERATURE FOR T26 TIE BAR WITHIN ACCEPTABLE RANGE']
"T27, design 1",['TEMPERATURE FOR T27 TIE BAR WITHIN ACCEPTABLE RANGE']
"T28, design 1",['TEMPERATURE FOR T28 TIE BAR WITHIN ACCEPTABLE RANGE']
"T29, design 1",['TEMPERATURE FOR T29 TIE BAR WITHIN ACCEPTABLE RANGE']
"T30, design 1",['TEMPERATURE FOR T30 TIE BAR WITHIN ACCEPTABLE RANGE']
"T31, design 1",['TEMPERATURE FOR T31 TIE BAR WITHIN ACCEPTABLE RANGE']
"T32, design 1",['TEMPERATURE FOR T32 TIE BAR WITHIN ACCEPTABLE RANGE']
"T33, design 1",['TEMPERATURE FOR T33 TIE BAR WITHIN ACCEPTABLE RANGE']
"T34, design 1",['TEMPERATURE FOR T34 TIE BAR WITHIN ACCEPTABLE RANGE']
"T35, design 1",['TEMPERATURE FOR T35 TIE BAR WITHIN ACCEPTABLE RANGE']
"T36, design 1",['TEMPERATURE FOR T36 TIE BAR WITHIN ACCEPTABLE RANGE']
"T37, design 1",['TEMPERATURE FOR T37 TIE BAR WITHIN ACCEPTABLE RANGE']
"T38, design 1",['TEMPERATURE FOR T38 TIE BAR WITHIN ACCEPTABLE RANGE']
"T39, design 1",['TEMPERATURE FOR T39 TIE BAR WITHIN ACCEPTABLE RANGE']
"T40, design 1",['TEMPERATURE FOR T40 TIE BAR WITHIN ACCEPTABLE RANGE']
"T41, design 1",['TEMPERATURE FOR T41 TIE BAR WITHIN ACCEPTABLE RANGE']
"T42, design 1",['TEMPERATURE FOR T42 TIE BAR WITHIN ACCEPTABLE RANGE']
"T1, design 2",['WARNING: TEMPERATURE LIMIT FOR T1 TIE BAR WILL BE REACHED IN 123 MINUTES']
"T2, design 2",['WARNING: TEMPERATURE LIMIT FOR T2 TIE BAR WILL BE REACHED IN 159 MINUTES']
"T3, design 2",['WARNING: TEMPERATURE LIMIT FOR T3 TIE BAR WILL BE REACHED IN 204 MINUTES']
"T4, design 2",['WARNING: TEMPERATURE LIMIT FOR T4 TIE BAR WILL BE REACHED IN 180 MINUTES']
"T5, design 2",['WARNING: TEMPERATURE LIMIT FOR T5 TIE BAR WILL BE REACHED IN 180 MINUTES']
"T6, design 2",['WARNING: TEMPERATURE LIMIT FOR T6 TIE BAR WILL BE REACHED IN 188 MINUTES']
"T7, design 2",['WARNING: TEMPERATURE LIMIT FOR T7 TIE BAR WILL BE REACHED IN 250 MINUTES']
"T8, design 2",['WARNING: TEMPERATURE LIMIT FOR T8 TIE BAR WILL BE REACHED IN 242 MINUTES']
"T9, design 2",['WARNING: TEMPERATURE LIMIT FOR T9 TIE BAR WILL BE REACHED IN 136 MINUTES']
"T10, design 2",['WARNING: TEMPERATURE LIMIT FOR T10 TIE BAR WILL BE REACHED IN 186 MINUTES']
"T11, design 2",['WARNING: TEMPERATURE LIMIT FOR T11 TIE BAR WILL BE REACHED IN 126 MINUTES']
"T12, design 2",['WARNING: TEMPERATURE LIMIT FOR T12 TIE BAR WILL BE REACHED IN 129 MINUTES']
"T13, design 2",['WARNING: TEMPERATURE LIMIT FOR T13 TIE BAR WILL BE REACHED IN 194 MINUTES']
"T14, design 2",['WARNING: TEMPERATURE LIMIT FOR T14 TIE BAR WILL BE REACHED IN 186 MINUTES']
"T15, design 2",['WARNING: TEMPERATURE LIMIT FOR T15 TIE BAR WILL BE REACHED IN 183 MINUTES']
"T16, design 2",['WARNING: TEMPERATURE LIMIT FOR T16 TIE BAR WILL BE REACHED IN 243 MINUTES']
"T17, design 2",['WARNING: TEMPERATURE LIMIT FOR T17 TIE BAR WILL BE REACHED IN 240 MINUTES']
"T18, design 2",['WARNING: TEMPERATURE LIMIT FOR T18 TIE BAR WILL BE REACHED IN 258 MINUTES']
"T19, design 2",['WARNING: TEMPERATURE LIMIT FOR T19 TIE BAR WILL BE REACHED IN 265 MINUTES']
"T20, design 2",['WARNING: TEMPERATURE LIMIT FOR T20 TIE BAR WILL BE REACHED IN 303 MINUTES']
"T21, design 2",['TEMPERATURE FOR T21 TIE BAR WITHIN ACCEPTABLE RANGE']
"T22, design 2",['WARNING: TEMPERATURE LIMIT FOR T22 TIE BAR WILL BE REACHED IN 248 MINUTES']
"T23, design 2",['WARNING: TEMPERATURE LIMIT FOR T23 TIE BAR WILL BE REACHED IN 251 MINUTES']
"T24, design 2",['WARNING: TEMPERATURE LIMIT FOR T24 TIE BAR WILL BE REACHED IN 44 MINUTES']
"T25, design 2",['WARNING: TEMPERATURE LIMIT FOR T25 TIE BAR WILL BE REACHED IN 65 MINUTES']
"T26, design 2",['WARNING: TEMPERATURE LIMIT FOR T26 TIE BAR WILL BE REACHED IN 247 MINUTES']
"T27, design 2",['WARNING: TEMPERATURE LIMIT FOR T27 TIE BAR WILL BE REACHED IN 248 MINUTES']
"T28, design 2",['WARNING: TEMPERATURE LIMIT FOR T28 TIE BAR WILL BE REACHED IN 181 MINUTES']
"T29, design 2",['WARNING: TEMPERATURE LIMIT FOR T29 TIE BAR WILL BE REACHED IN 303 MINUTES']
"T30, design 2",['WARNING: TEMPERATURE LIMIT FOR T30 TIE BAR WILL BE REACHED IN 186 MINUTES']
"T31, design 2",['WARNING: TEMPERATURE LIMIT FOR T31 TIE BAR WILL BE REACHED IN 243 MINUTES']
"T32, design 2",['WARNING: TEMPERATURE LIMIT FOR T32 TIE BAR WILL BE REACHED IN 244 MINUTES']
"T33, design 2",['WARNING: TEMPERATURE LIMIT FOR T33 TIE BAR WILL BE REACHED IN 130 MINUTES']
"T34, design 2",['WARNING: TEMPERATURE LIMIT FOR T34 TIE BAR WILL BE REACHED IN 125 MINUTES']
"T35, design 2",['WARNING: TEMPERATURE LIMIT FOR T35 TIE BAR WILL BE REACHED IN 244 MINUTES']
"T36, design 2",['WARNING: TEMPERATURE LIMIT FOR T36 TIE BAR WILL BE REACHED IN 124 MINUTES']
"T37, design 2",['WARNING: TEMPERATURE LIMIT FOR T37 TIE BAR WILL BE REACHED IN 306 MINUTES']
"T38, design 2",['WARNING: TEMPERATURE LIMIT FOR T38 TIE BAR WILL BE REACHED IN 302 MINUTES']
"T39, design 2",['WARNING: TEMPERATURE LIMIT FOR T39 TIE BAR WILL BE REACHED IN 303 MINUTES']
"T40, design 2",['TEMPERATURE FOR T40 TIE BAR WITHIN ACCEPTABLE RANGE']
"T41, design 2",['WARNING: TEMPERATURE LIMIT FOR T41 TIE BAR WILL BE REACHED IN 301 MINUTES']
"T42, design 2",['WARNING: TEMPERATURE LIMIT FOR T42 TIE BAR WILL BE REACHED IN 265 MINUTES']
