Min,Amps
0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,20
61,20
62,20
63,20
64,20
65,20
66,20
67,20
68,20
69,20
70,20
71,20
72,20
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,20
81,20
82,20
83,20
84,20
85,20
86,20
87,20
88,20
89,20
90,20
91,20
92,20
93,20
94,20
95,20
96,20
97,20
98,20
99,20
100,20
101,20
102,20
103,20
104,20
105,20
106,20
107,20
108,20
109,20
110,20
111,20
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
120,40
121,40
122,40
123,40
124,40
125,40
126,40
127,40
128,40
129,40
130,40
131,40
132,40
133,40
134,40
135,40
136,40
137,40
138,40
139,40
140,40
141,40
142,40
143,40
144,40
145,40
146,40
147,40
148,40
149,40
150,40
151,40
152,40
153,40
154,40
155,40
156,40
157,40
158,40
159,40
160,40
161,40
162,40
163,40
164,40
165,40
166,40
167,40
168,40
169,40
170,40
171,40
172,40
173,40
174,40
175,40
176,40
177,40
178,40
179,40
180,50
181,50
182,50
183,50
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,50
194,50
195,50
196,50
197,50
198,50
199,50
200,50
201,50
202,50
203,50
204,50
205,50
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,50
214,50
215,50
216,50
217,50
218,50
219,50
220,50
221,50
222,50
223,50
224,50
225,50
226,50
227,50
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,50
236,50
237,50
238,50
239,50
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,200
301,200
302,200
303,200
304,200
305,200
306,200
307,200
308,200
309,200
310,200
311,200
312,200
313,200
314,200
315,200
316,200
317,200
318,200
319,200
320,200
321,200
322,200
323,200
324,200
325,200
326,200
327,200
328,200
329,200
330,200
331,200
332,200
333,200
334,200
335,200
336,200
337,200
338,200
339,200
340,200
341,200
342,200
343,200
344,200
345,200
346,200
347,200
348,200
349,200
350,200
351,200
352,200
353,200
354,200
355,200
356,200
357,200
358,200
359,200
360,200
