,time,speed,density,Vx,Vy,Vz,Bx,By,Bz,dst
1341,1435046413.997,748.0683605794326,2.891,-742.29,82.66,42.18,8.406,6.884,-21.629,-198.0
1342,1435046478.019,749.0250543873682,2.923,-742.54,90.57,38.34,8.502,6.902,-21.58,-198.0
1343,1435046605.978,761.265738162437,2.782,-755.26,86.42,40.49,9.098,7.99,-20.751,-198.0
1344,1435046670.0,746.7288043192119,2.781,-740.04,85.6,51.16,7.88,8.544,-20.967,-198.0
1345,1435046734.022,736.8034289415325,2.583,-731.48,71.99,51.32,6.412,9.707,-21.057,-198.0
1346,1435046798.045,746.2919148027802,3.472,-740.2,75.55,57.86,5.834,9.87,-21.103,-198.0
1347,1435046861.981,743.8746817845059,3.06,-737.78,76.97,55.73,5.933,10.514,-20.904,-198.0
1348,1435046926.003,741.7879571009494,2.712,-736.4,74.07,49.78,8.897,8.495,-21.015,-198.0
1349,1435046990.026,726.5494315598905,2.86,-721.36,70.9,49.87,11.183,7.199,-20.76,-198.0
1350,1435047054.048,716.9618173933673,2.639,-712.86,55.98,52.26,12.067,7.104,-20.43,-198.0
1351,1435047117.984,708.4238317561035,2.781,-704.13,53.09,56.98,11.521,7.458,-20.529,-198.0
1352,1435047182.006,718.5968826817996,2.742,-714.02,59.55,54.87,11.18,7.354,-20.724,-198.0
1353,1435047246.029,716.7273849240031,2.677,-712.51,56.91,52.81,10.298,7.218,-21.197,-198.0
1354,1435047310.051,712.5453713273282,3.0,-708.83,48.43,54.18,10.985,6.374,-21.203,-198.0
1355,1435047438.01,702.8190243583336,2.89,-699.76,42.35,49.97,9.631,4.195,-22.356,-198.0
1356,1435047502.032,699.6507005642173,3.027,-697.12,38.6,45.22,9.602,4.852,-22.071,-198.0
1357,1435047566.054,708.5728381048768,2.911,-706.93,33.32,34.86,9.633,5.154,-21.984,-198.0
1358,1435047629.99,704.1892213744825,2.755,-701.55,47.77,37.79,9.623,4.171,-22.191,-198.0
1359,1435047694.013,712.6665114203137,3.131,-707.97,62.66,52.4,8.972,6.563,-21.734,-198.0
1360,1435047758.035,713.6921147805964,2.901,-708.51,71.25,47.89,8.946,7.12,-21.558,-198.0
1361,1435047822.058,701.0114744424659,2.945,-695.28,72.85,51.92,8.226,7.187,-21.805,-198.0
1362,1435047885.994,704.3907184936497,3.019,-699.99,60.09,50.69,8.117,7.069,-21.67,-198.0
1363,1435047950.016,703.5781063961555,3.109,-699.02,58.83,54.15,7.628,7.078,-21.612,-198.0
1364,1435048014.038,705.5474448256474,2.916,-700.12,60.28,63.21,8.046,7.205,-21.373,-198.0
1365,1435048077.974,696.3080917237713,2.785,-691.36,60.53,56.59,8.536,7.979,-20.882,-198.0
1366,1435048141.997,700.120128620796,3.239,-695.86,59.9,48.57,9.168,8.19,-20.742,-198.0
1367,1435048206.019,698.1476913948795,2.515,-694.05,59.26,46.83,8.93,8.352,-21.176,-198.0
1368,1435048270.042,702.2160942331071,2.335,-698.11,59.78,46.65,8.122,8.349,-21.497,-198.0
1369,1435048333.978,692.8113744014312,2.465,-689.5,44.73,50.76,8.201,7.867,-21.609,-198.0
1370,1435048398.0,699.3469435837981,2.693,-695.85,36.31,59.67,8.819,9.343,-20.139,-198.0
1371,1435048462.022,696.4292545549763,3.614,-692.21,48.24,59.43,9.087,8.966,-19.932,-198.0
1372,1435048526.045,694.8460642473266,3.631,-689.05,57.53,68.64,8.003,8.672,-20.357,-198.0
1373,1435048589.981,670.4182477379326,4.175,-663.66,57.28,75.73,5.627,8.226,-21.112,-198.0
1374,1435048654.003,672.1383763035705,3.986,-667.62,50.51,59.18,6.745,9.256,-20.387,-198.0
1375,1435048718.026,691.2460125743946,3.136,-685.07,79.37,46.91,8.29,10.063,-19.95,-198.0
1376,1435048782.048,698.0288760502677,2.558,-692.71,67.31,53.54,9.221,7.911,-20.896,-198.0
1377,1435048845.984,701.1849263924604,2.775,-695.72,78.01,39.35,9.402,7.341,-21.001,-198.0
1378,1435048910.006,695.6743970421795,2.531,-690.47,68.97,49.57,8.945,6.868,-21.207,-198.0
1379,1435048974.029,692.1699677102438,2.885,-686.75,60.36,61.89,8.536,7.044,-21.296,-198.0
1380,1435049038.051,677.5001173431632,2.829,-673.65,55.16,46.47,8.336,7.526,-21.117,-198.0
1381,1435049101.987,690.5288736178959,2.386,-686.44,60.26,44.71,8.202,7.429,-21.056,-198.0
1382,1435049166.01,671.1264620025051,2.721,-668.04,44.08,46.8,8.775,7.024,-21.02,-198.0
1383,1435049230.032,677.8436900200518,2.754,-674.36,32.67,60.36,8.041,7.345,-20.994,-198.0
1384,1435049294.054,663.6257688637475,2.601,-661.31,24.15,49.85,9.115,6.292,-20.998,-198.0
1385,1435049422.013,668.8709792628172,2.905,-663.92,47.62,65.81,11.329,4.384,-20.507,-198.0
1386,1435049486.035,675.9303200774472,2.794,-671.7,39.74,64.2,11.464,5.034,-20.259,-198.0
1387,1435054541.99,724.9274205049771,3.374,-720.44,80.05,-8.83,3.386,-2.614,15.454,-179.0
1388,1435054606.013,716.5591275672929,2.469,-713.0,71.33,0.12,3.015,-3.077,13.301,-171.0
1389,1435054670.035,714.4102486666887,2.727,-710.72,72.49,2.07,2.13,-3.47,13.957,-171.0
1390,1435054734.058,728.1413391643135,2.686,-721.49,97.16,-14.21,0.282,-2.308,13.912,-171.0
