,time,Bx,By,Bz,speed,Vx,Vy,Vz,density,dst
0,1067385600.0,23.78,-30.36,-26.04,657.6,-655.1,48.9,30.1,16.95,-179.0
1,1067385660.0,23.41,-30.00,-26.99,99999.9,99999.9,99999.9,99999.9,999.99,-186.0
2,1067385720.0,22.04,-30.20,-28.22,645.5,-644.1,42.4,7.6,19.58,-186.0
3,1067385780.0,21.64,-29.24,-29.20,645.5,-644.1,42.4,7.6,19.58,-186.0
4,1067385840.0,21.69,-27.33,-30.16,650.8,-648.3,43.9,36.6,17.86,-186.0
5,1067385900.0,21.78,-27.54,-29.85,647.0,-644.6,41.0,36.3,17.85,-186.0
6,1067385960.0,21.97,-28.01,-29.38,633.9,-632.3,31.5,32.3,17.99,-186.0
7,1067386020.0,23.07,-27.44,-29.48,629.5,-627.4,30.6,41.7,20.46,-186.0
8,1067386080.0,21.48,-27.47,-30.58,628.6,-626.4,30.4,43.7,20.98,-186.0
9,1067386140.0,17.92,-27.62,-32.55,99999.9,99999.9,99999.9,99999.9,999.99,-186.0
10,1067386200.0,20.10,-27.47,-31.15,99999.9,99999.9,99999.9,99999.9,999.99,-186.0
11,1067386260.0,23.00,-27.98,-28.45,621.8,-617.5,34.0,63.8,16.71,-186.0
12,1067386320.0,23.97,-28.46,-27.42,621.8,-617.5,34.0,63.8,16.71,-186.0
13,1067386380.0,22.95,-28.17,-28.30,620.9,-616.4,33.6,66.8,13.61,-186.0
14,1067386440.0,21.12,-24.23,-32.96,623.3,-619.1,32.7,65.3,13.71,-186.0
15,1067386500.0,19.49,-23.34,-34.24,626.9,-622.9,31.9,63.0,14.06,-186.0
16,1067386560.0,20.14,-25.40,-31.92,634.8,-631.1,32.8,59.9,14.56,-186.0
17,1067386620.0,23.45,-23.95,-30.16,646.1,-642.2,26.3,66.4,13.74,-186.0
18,1067386680.0,24.80,-24.81,-28.52,646.9,-642.9,25.9,66.8,13.68,-186.0
19,1067386740.0,24.63,-24.00,-29.18,99999.9,99999.9,99999.9,99999.9,999.99,-186.0
20,1067386800.0,23.92,-25.18,-28.98,99999.9,99999.9,99999.9,99999.9,999.99,-186.0
21,1067386860.0,21.33,-25.82,-30.09,99999.9,99999.9,99999.9,99999.9,999.99,-186.0
