,time,Bx,By,Bz,speed,Vx,Vy,Vz,density,dst
0,1067403600,-12.66,-21.15,-25.91,2249.7,-2245.5,16.9,43.7,22.05,-368
1,1067403660,-14.76,-22.02,-25.68,1124.25,-1120.65,31.3,51.5,22.83,-374
2,1067403720,-14.82,-21.72,-25.68,2248.5,-2241.3,31.3,51.5,22.83,-374
3,1067403780,-15.24,-21.12,-25.66,1124.25,-1120.65,31.3,51.5,22.83,-374
4,1067403840,-15.63,-21.84,-25.6,2248.5,-2241.3,31.3,51.5,22.83,-374
5,1067403900,-14.82,-22.71,-25.54,1126.05,-1123.95,17.1,42.5,22.59,-374
6,1067403960,-14.49,-22.53,-25.54,2252.1,-2247.9,17.1,42.5,22.59,-374
7,1067404020,-14.49,-22.41,-25.54,1126.05,-1123.95,17.1,42.5,22.59,-374
8,1067404080,-14.13,-23.07,-25.46,2253,-2249.1,11.1,42.8,22.2,-374
9,1067404140,-13.68,-24.54,-25.15,1126.5,-1124.55,11.1,42.8,22.2,-374
10,1067404200,-12.6,-24.09,-25.23,2253,-2249.1,11.1,42.8,22.2,-374
11,1067404260,-12.99,-21.99,-25.38,1122.3,-1119.75,18,46.9,22.23,-374
12,1067404320,-12.03,-18.57,-25.67,2244.6,-2239.5,18,46.9,22.23,-374
13,1067404380,-8.13,-17.61,-26,1103.1,-1098.15,37.5,59,19.8,-374
14,1067404440,-12.06,-19.29,-25.73,2206.2,-2196.3,37.5,59,19.8,-374
15,1067404500,-12.78,-19.35,-25.73,1102.2,-1096.95,38.6,60.2,16.92,-374
16,1067404560,-12.57,-20.19,-25.7,2204.4,-2193.9,38.6,60.2,16.92,-374
17,1067404620,-13.08,-22.29,-25.47,1102.2,-1096.95,38.6,60.2,16.92,-374
18,1067404680,-13.11,-21.9,-25.5,2203.5,-2193.6,36.6,59.4,15,-374
19,1067404740,-9.99,-21.6,-25.67,1102.5,-1097.55,36.6,58.9,15.15,-374
20,1067404800,-12.6,-21.81,-25.45,2209.5,-2199.9,36.5,57.6,15.57,-374
21,1067404860,-13.83,-22.05,-25.29,1106.1,-1101.45,35.9,57.2,16.56,-374
22,1067404920,-15.45,-21.15,-25.32,2212.2,-2202.9,35.9,57.2,16.56,-374
23,1067404980,-16.38,-21.18,-25.24,1115.4,-1112.7,35.5,38.2,18.66,-374
24,1067405040,-14.04,-21.81,-25.31,2230.8,-2225.4,35.5,38.2,18.66,-374
25,1067405100,-13.86,-22.17,-25.23,1133.25,-1129.05,30.2,57.1,21.27,-374
26,1067405160,-16.17,-22.89,-25.01,2259.3,-2252.1,25.1,53.8,20.97,-374
27,1067405220,-18.51,-24.54,-24.65,1125,-1122.45,16.8,47.7,19.77,-374
28,1067405280,-18.36,-24.15,-24.62,2249.4,-2245.2,12.8,43.8,18.24,-374
29,1067405340,-17.85,-24.81,-24.51,1125.45,-1123.2,14.6,44.7,16.26,-374
30,1067405400,-21.15,-25.5,-24.1,2250,-2245.5,15,45,16.29,-374
31,1067405460,-21.42,-25.65,-23.99,1105.05,-1099.8,35.9,61.5,17.31,-374
32,1067405520,-16.74,-25.53,-24.44,2210.1,-2199.6,35.9,61.5,17.31,-374
33,1067405580,-15.21,-26.82,-24.38,1106.7,-1101.6,20.5,68.5,17.82,-374
34,1067405640,-16.44,-26.52,-24.32,2213.4,-2203.2,20.5,68.5,17.82,-374
35,1067405700,-15.18,-25.02,-24.41,1105.35,-1100.1,35.2,62.5,16.53,-374
