,time,speed,density,Vx,Vy,Vz,Bx,By,Bz,dst
0,1698624120,543.2,12.47,-542.7,-15.3,-17.8,2.73,-3.44,-6.67,-52.870499
1,1698624180,544.9,12.92,-544.4,-15.2,-17.8,3.34,-3.11,-6.05,-53.244598
2,1698624240,547.7,12.98,-547.2,-15.3,-17.8,3.06,-2.68,-6.10,-53.462799
3,1698624300,555.1,14.88,-554.1,15.0,29.4,1.19,-2.74,-5.42,-53.462799
4,1698624360,570.5,16.59,-563.9,52.9,68.8,1.85,-2.14,-3.52,-54.5359
5,1698624420,573.9,17.04,-567.6,55.9,64.4,4.50,-0.86,-3.19,-54.5359
6,1698624480,575.1,15.79,-569.4,50.8,62.6,4.55,-1.52,-4.32,-55.328602
7,1698624540,572.0,15.16,-565.5,52.2,68.7,4.62,-1.83,-4.78,-56.157501
8,1698624600,573.2,15.26,-566.0,55.3,71.9,4.74,-2.12,-4.55,-56.360199
9,1698624660,575.1,15.72,-567.5,57.5,73.6,4.30,-1.94,-4.42,-56.006001
10,1698624720,573.0,15.63,-565.6,55.3,72.9,3.87,-1.48,-4.82,-54.357101
11,1698624780,568.1,14.99,-560.5,54.1,75.6,4.06,-2.08,-5.53,-53.328701
12,1698624840,568.8,15.39,-561.4,52.5,74.9,3.66,-1.58,-4.97,-53.917
13,1698624900,576.8,17.19,-569.6,58.7,69.2,5.10,-1.45,-1.50,-55.313301
14,1698624960,569.8,17.96,-563.9,55.5,60.1,5.18,-1.07,-1.22,-55.604401
15,1698625020,571.4,17.17,-565.0,57.1,62.9,4.78,-1.25,-1.42,-55.666599
16,1698625080,575.2,16.37,-567.2,60.0,74.5,4.56,-1.78,-1.63,-55.7887
17,1698625140,572.7,16.08,-565.4,55.3,72.6,4.43,-1.94,-2.30,-55.2948
18,1698625200,576.3,16.80,-568.9,57.2,72.7,4.67,-0.73,-1.78,-54.960701
19,1698625260,574.4,16.28,-566.4,61.9,72.6,4.51,-1.13,-2.09,-54.7061
20,1698625320,578.7,15.78,-571.2,62.5,68.5,4.98,-0.61,-2.53,-54.5811
21,1698625380,580.3,16.10,-572.2,62.2,74.0,4.91,-0.78,-2.39,-54.554298
22,1698625440,580.3,16.49,-573.3,60.8,65.8,5.07,-0.97,-2.14,-55.023102
23,1698625500,581.0,14.89,-573.5,62.8,68.7,5.38,-0.75,-2.53,-54.952099
24,1698625560,582.4,15.06,-574.3,63.6,73.1,5.38,-1.24,-2.92,-54.957199
25,1698625620,578.7,15.73,-572.2,54.1,66.9,5.42,0.53,-2.37,-54.777401
26,1698625680,575.1,14.54,-569.5,59.3,54.5,5.07,-1.09,-3.02,-54.296902
27,1698625740,577.8,13.41,-571.6,48.8,68.7,5.28,0.71,-3.10,-54.257702
28,1698625800,584.5,16.30,-577.8,53.5,70.0,4.29,1.30,-2.38,-54.466599
29,1698625860,582.0,14.58,-574.8,56.5,72.0,3.98,1.26,-2.18,-54.543499
30,1698625920,584.3,16.64,-577.8,50.8,70.6,4.92,1.11,-2.63,-54.723701
31,1698625980,573.1,12.76,-571.2,21.9,41.2,5.85,1.00,-3.06,-54.769199
32,1698626040,579.3,13.35,-572.6,49.7,72.4,5.64,0.71,-3.08,-54.966599
33,1698626100,586.3,15.10,-579.0,51.0,76.8,5.90,0.30,-3.07,-54.648201
34,1698626160,587.5,16.96,-581.1,46.4,72.4,5.63,0.72,-3.07,-54.648201
35,1698626220,578.5,14.76,-573.3,41.3,65.4,4.76,0.35,-2.87,-54.053501
36,1698626280,572.9,13.38,-572.6,8.5,17.1,3.80,1.71,-3.35,-54.508598
